Time_s,Voltage_V
-0.001000000,-0.001040
-0.000998000,-0.001480
-0.000996000,0.000950
-0.000994000,-0.001000
-0.000992000,-0.001940
-0.000990000,0.003690
-0.000988000,0.001090
-0.000986000,-0.001760
-0.000984000,0.000870
-0.000982000,-0.003230
-0.000980000,-0.000820
-0.000978000,-0.000710
-0.000976000,-0.004740
-0.000974000,0.000930
-0.000972000,0.001840
-0.000970000,0.000170
-0.000968000,-0.000020
-0.000966000,0.001210
-0.000964000,0.000900
-0.000962000,-0.002980
-0.000960000,0.000260
-0.000958000,-0.001260
-0.000956000,-0.003190
-0.000954000,0.000970
-0.000952000,0.001110
-0.000950000,-0.003810
-0.000948000,-0.002640
-0.000946000,0.000820
-0.000944000,0.003320
-0.000942000,-0.002530
-0.000940000,-0.000410
-0.000938000,-0.001360
-0.000936000,0.000090
-0.000934000,-0.000950
-0.000932000,0.001410
-0.000930000,-0.000010
-0.000928000,-0.001210
-0.000926000,0.003460
-0.000924000,-0.001790
-0.000922000,-0.002090
-0.000920000,-0.003210
-0.000918000,0.001850
-0.000916000,-0.000200
-0.000914000,0.001040
-0.000912000,0.002430
-0.000910000,0.000770
-0.000908000,0.003450
-0.000906000,0.001140
-0.000904000,-0.000870
-0.000902000,-0.002700
-0.000900000,0.003980
-0.000898000,-0.001170
-0.000896000,-0.000670
-0.000894000,0.000120
-0.000892000,0.001910
-0.000890000,0.003050
-0.000888000,0.001330
-0.000886000,-0.003200
-0.000884000,-0.003020
-0.000882000,-0.002900
-0.000880000,-0.002870
-0.000878000,-0.001940
-0.000876000,-0.001750
-0.000874000,0.000840
-0.000872000,0.002240
-0.000870000,-0.000980
-0.000868000,0.000620
-0.000866000,-0.000350
-0.000864000,-0.001790
-0.000862000,0.000300
-0.000860000,-0.001010
-0.000858000,-0.001610
-0.000856000,-0.003250
-0.000854000,-0.003760
-0.000852000,-0.001610
-0.000850000,-0.003070
-0.000848000,-0.000600
-0.000846000,0.000170
-0.000844000,-0.001920
-0.000842000,0.001610
-0.000840000,-0.000480
-0.000838000,-0.000820
-0.000836000,-0.001070
-0.000834000,0.001480
-0.000832000,-0.001590
-0.000830000,-0.003860
-0.000828000,-0.000090
-0.000826000,-0.003490
-0.000824000,0.002230
-0.000822000,-0.001250
-0.000820000,-0.002610
-0.000818000,0.000540
-0.000816000,0.002610
-0.000814000,0.000630
-0.000812000,-0.000300
-0.000810000,-0.001900
-0.000808000,0.003940
-0.000806000,0.000270
-0.000804000,0.000690
-0.000802000,0.000860
-0.000800000,-0.000380
-0.000798000,0.002080
-0.000796000,0.000750
-0.000794000,-0.000240
-0.000792000,0.003010
-0.000790000,0.000290
-0.000788000,-0.002690
-0.000786000,-0.001980
-0.000784000,0.004170
-0.000782000,0.002060
-0.000780000,0.002720
-0.000778000,-0.003880
-0.000776000,-0.002050
-0.000774000,0.000080
-0.000772000,-0.000780
-0.000770000,-0.000050
-0.000768000,0.001730
-0.000766000,-0.001200
-0.000764000,-0.001840
-0.000762000,0.002670
-0.000760000,0.000490
-0.000758000,0.001350
-0.000756000,-0.000220
-0.000754000,-0.001850
-0.000752000,0.002520
-0.000750000,0.001430
-0.000748000,-0.001410
-0.000746000,-0.003130
-0.000744000,0.000020
-0.000742000,-0.000360
-0.000740000,-0.000880
-0.000738000,-0.000580
-0.000736000,-0.002200
-0.000734000,-0.000140
-0.000732000,0.001230
-0.000730000,-0.000310
-0.000728000,-0.003410
-0.000726000,0.002660
-0.000724000,0.002660
-0.000722000,-0.001570
-0.000720000,-0.001090
-0.000718000,-0.001030
-0.000716000,-0.000720
-0.000714000,-0.000020
-0.000712000,-0.001680
-0.000710000,-0.002350
-0.000708000,0.005270
-0.000706000,0.002450
-0.000704000,0.001290
-0.000702000,-0.000440
-0.000700000,0.004380
-0.000698000,0.001070
-0.000696000,0.000170
-0.000694000,0.002780
-0.000692000,0.001140
-0.000690000,-0.001560
-0.000688000,-0.001350
-0.000686000,-0.001820
-0.000684000,0.000340
-0.000682000,-0.001830
-0.000680000,0.001340
-0.000678000,0.000740
-0.000676000,-0.002790
-0.000674000,-0.000140
-0.000672000,-0.000020
-0.000670000,0.001340
-0.000668000,0.001650
-0.000666000,-0.000110
-0.000664000,-0.001710
-0.000662000,-0.000380
-0.000660000,-0.004070
-0.000658000,-0.000260
-0.000656000,-0.002050
-0.000654000,-0.001420
-0.000652000,-0.003200
-0.000650000,-0.001280
-0.000648000,-0.001180
-0.000646000,-0.000830
-0.000644000,-0.001360
-0.000642000,-0.000340
-0.000640000,-0.001810
-0.000638000,-0.001340
-0.000636000,-0.001400
-0.000634000,-0.004250
-0.000632000,-0.003800
-0.000630000,0.000210
-0.000628000,0.001030
-0.000626000,0.000980
-0.000624000,0.002910
-0.000622000,0.000370
-0.000620000,-0.000230
-0.000618000,-0.000570
-0.000616000,0.000620
-0.000614000,0.004500
-0.000612000,-0.002460
-0.000610000,-0.001590
